Shoulder Radio, Flashlight, Whistle, High Wave, Examine Eyes, Take BP, Walking, Location Sent, Requesting Backup, Vitals Sent, Shoulder Radio Start, Shoulder Radio End, Shoulder Radio Delta, Flashlight Start, Flashlight End, Flashlight Delta, Whistle Start, Whistle End, Whistle Delta, High Wave Start, High Wave End, High Wave Delta, Examine Eyes Start, Examine Eyes End, Examine Eyes Delta, Take BP Start, Take BP End, Take BP Delta, Distance Magnitude, App Usage Count, User, Anomaly
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 37983861,   37987421, 3.56, 37993594,   37999219, 5.625, 37998205,   38003305, 5.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.742697122189, 0,     100102, Normal
0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38038649,   38040666, 2.017, 38044791,   38048370, 3.579, 0, 0, 0, 2.48597036584, 1,     100102, Normal
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16482347955, 2,     100102, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 40087071,   40093704, 6.633, 40096750,   40100835, 4.085, 40100842,   40103879, 3.037, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.882329433413, 1,     100102, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 40111001,   40119595, 8.594, 40120056,   40126093, 6.037, 40125480,   40127303, 1.823, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66210765627, 0,     100102, Normal
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79931664665, 2,     100102, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 40159038,   40168101, 9.063, 40170171,   40175789, 5.618, 40175233,   40178299, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.87376132341, 3,     100102, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 40183626,   40189702, 6.076, 40189706,   40192733, 3.027, 40193307,   40196929, 3.622, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80937919835, 4,     100102, Normal
1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 40202291,   40208254, 5.963, 0, 0, 0, 0, 0, 0, 40212521,   40217294, 4.773, 0, 0, 0, 40219605,   40245983, 26.378, 2.26026228966, 3,     100102, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37427315,   37433579, 6.264, 37448607,   37453504, 4.897, 37453510,   37459537, 6.027, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57615913283, 0,     100103, Normal
0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37489570,   37493672, 4.102, 37493156,   37498459, 5.303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76413042297, 4,     100103, Normal
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 37509324,   37513348, 4.024, 37514383,   37517605, 3.222, 37518630,   37522427, 3.797, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40951619542, 2,     100103, Normal
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 37530813,   37534476, 3.663, 37535538,   37542337, 6.799, 37546519,   37550660, 4.141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34866017526, 3,     100103, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37556451,  37560046, 3.595, 37561669,   37566385, 4.716, 37567415,   37570535, 3.12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.22975311489, 1,     100103, Normal
1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 37583113,  37585226, 2.113, 37585746,   37590422, 4.676, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19567782343, 0,     100103, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37601927,  37605447, 3.52, 37605601,   37608702, 3.101, 37607679,   37610284, 2.605, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9173283292, 4,     100103, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37619700,  37624174, 4.474, 37624453,   37628564, 4.111, 37627523,   37632231, 4.708, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48078685666, 2,     100103, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37640609,  37643826, 3.217, 37643828,   37648434, 4.606, 37647405,   37651584, 4.179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93992781967, 4,     100103, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37663615,  37666956, 3.341, 37666958,   37670401, 3.443, 37669382,   37673536, 4.154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.462359329812, 4,     100103, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37686087,   37689738, 3.651, 37690279,   37693935, 3.656, 37692906,   37696008, 3.102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29270038678, 3,     100103, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37702827,   37706465, 3.638, 37706470,   37709599, 3.129, 37709609,   37712739, 3.13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37572748135, 1,     100103, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37720583,  37724085, 3.502, 37724268,   37726875, 2.607, 37726881,   37729975, 3.094, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.432048805571, 0,     100103, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37738364,   37742051, 3.687, 37742545,   37746733, 4.188, 37745703,   37749335, 3.632, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14146647687, 4,     100103, Normal
